Date,All Commodity Price Index,Non-Fuel Price Index,Food and Beverage Price Index,Food Price Index,Beverage Price Index,Industrial Inputs Price Index,Agricultural Raw Materials Index,Metals Price Index,Fuel Energy Index
01-01-1992,52.87671831,83.32902562,96.09922831,97.98689702,78.67429257,70.43008037,87.01345676,58.45171205,35.06106211
01-02-1992,53.02078449,83.70593157,95.6724015,98.21393543,72.21168239,71.6188219,86.86287748,60.60786079,35.06890894
01-03-1992,52.73693867,83.71563803,94.91865005,97.46168367,71.44408737,72.39968304,88.12699665,61.03965898,34.61332485
01-04-1992,54.27021395,84.333553,92.97064811,95.45696365,70.019646,75.60938318,94.43851135,62.00888187,36.68211767
01-05-1992,55.57781462,85.30572566,94.40044679,97.29745774,67.65834452,76.11931626,95.53543346,62.09482585,38.18595536
01-06-1992,56.6235744,84.38472567,93.08298556,96.07729675,65.44271172,75.59877443,94.14936356,62.19946515,40.38233783
01-07-1992,56.7401309,86.35885397,95.39681456,98.19728461,69.54587447,77.22977734,94.41827447,64.81432319,39.41215039
01-08-1992,56.79232214,87.90390035,99.81873098,102.9177469,71.21193563,75.86895057,91.44198814,64.62036191,38.59096958
01-09-1992,57.70828251,88.71640358,101.4728744,104.8205803,70.57043989,75.83132858,93.52662071,63.04981042,39.56745596
01-10-1992,56.3384011,85.62796184,96.9250113,99.71119388,71.20595794,74.21702137,95.50731354,58.83879229,39.20299197
01-11-1992,54.37386849,83.74346159,94.51637449,96.7190316,74.18380324,72.86194177,95.36260423,56.60944795,37.19163766
01-12-1992,53.29545746,83.54361351,93.13128484,94.64561199,79.15263852,73.85928424,95.91163434,57.93061172,35.59923682
01-01-1993,52.8306412,83.97286498,94.26360245,96.25081414,75.91979254,73.57838163,95.64145755,57.64196174,34.61135993
01-02-1993,53.71930061,84.20897031,93.12008491,95.41430646,71.94228882,75.20801847,100.0774526,57.24453297,35.88178611
01-03-1993,54.2432422,84.68437856,94.14207135,96.86726212,68.98602903,75.13133822,102.4597659,55.39169265,36.43412139
01-04-1993,54.63947304,85.80519531,95.57942532,98.6872962,66.89089014,75.93242658,107.3053575,53.27138867,36.40644432
01-05-1993,54.75846005,87.00352941,96.97043173,100.1224344,67.87451912,76.93614594,111.3332062,52.09074372,35.89397585
01-06-1993,53.36681867,85.5194769,94.84105517,97.91792526,66.43868602,76.10392331,108.2489507,52.88519096,34.55639819
01-07-1993,52.95708185,87.16156795,97.19356655,99.86693671,72.51587663,77.02843193,109.439832,53.61729545,32.94627088
01-08-1993,52.52656931,85.77354752,95.88170484,97.87298433,77.50034537,75.56348499,107.0780174,52.80016661,33.07593367
01-09-1993,51.50738988,84.87184343,95.45954294,96.60250237,84.90896565,74.17740422,106.6974139,50.68781778,31.9880271
01-10-1993,51.77516845,84.09305483,94.285428,95.3525747,84.43467268,73.79792742,108.235574,48.92320922,32.86808377
01-11-1993,50.46952282,84.03482955,95.4332988,96.51246241,85.47161612,72.52144684,106.4446504,48.01831688,30.83265395
01-12-1993,49.30711078,85.79347282,98.20614572,99.35784846,87.57485957,73.25566179,104.9676195,50.3497408,27.96132323
01-01-1994,50.34809799,86.7787629,99.00642444,100.8181905,82.28214109,74.42782841,104.9213813,52.40197557,29.0348952
01-02-1994,50.68757293,88.578588,100.1334776,101.904708,83.78337589,76.90720799,107.3948896,54.88559606,28.52001462
01-03-1994,50.52455957,88.84442465,99.82931459,101.0113224,88.91828439,77.74879073,109.024853,55.15772215,28.10610913
01-04-1994,52.58467333,90.50733178,100.4053432,101.4950509,90.34632849,80.50953377,116.5136487,54.50333699,30.39860255
01-05-1994,54.84570409,92.9976483,102.8171511,102.0905409,109.5244385,83.07915035,117.8518627,57.9624102,32.52549318
01-06-1994,56.58504719,95.08710979,103.5338288,101.3880186,123.3416501,86.55523531,121.3891163,61.3943123,34.06000488
01-07-1994,57.8626459,96.17083124,105.0865509,99.0550256,160.7631322,87.16522794,119.6241785,63.71974517,35.45102851
01-08-1994,56.58565226,95.67608288,104.5088652,99.03016914,155.0823194,86.754253,120.4720256,62.3995083,33.71639425
01-09-1994,56.67587887,98.25329209,107.5962893,101.1492498,167.1084523,88.81610364,120.378863,66.01795036,32.35164976
01-10-1994,56.93374692,97.928527,105.849424,100.4515226,155.6770686,89.92777558,118.4689809,69.31212646,32.95037841
01-11-1994,57.89727969,98.63177347,103.1819549,98.6382751,145.1243403,94.03571947,119.0201281,75.9891865,34.06618769
01-12-1994,57.45446257,99.91016465,104.1640855,101.1346615,132.1284831,95.61335797,120.4029694,77.70752936,32.616404
01-01-1995,58.86762231,101.303488,103.8141436,100.4187209,135.1570496,98.76752134,120.8810268,82.79467556,34.04116871
01-02-1995,59.31705906,100.7855634,104.9210158,101.503249,136.4701781,96.60841949,123.387362,77.26567357,35.05654543
01-03-1995,59.83580949,102.1676902,106.2998599,102.3974214,142.3229931,97.99386209,129.7321034,75.06895614,35.07019073
01-04-1995,61.35181579,102.352347,105.1041177,101.3591872,139.673305,99.57283439,132.147385,76.04385238,37.36508266
01-05-1995,60.71596564,101.4337617,105.4564465,102.056827,136.838093,97.37052219,130.6312554,73.3459024,36.8946424
01-06-1995,60.0791103,102.3720635,108.2361409,106.2183682,126.8620571,96.44886748,125.3623215,75.5643387,35.3362655
01-07-1995,59.05694618,103.1774294,111.0102286,110.0501802,119.8723667,95.26566403,118.3566652,78.58676161,33.24493289
01-08-1995,58.88713853,101.7601878,110.0000818,108.1659312,126.9309963,93.43722346,113.4341309,78.99322141,33.80491737
01-09-1995,58.71567909,100.4537162,109.6208383,108.7555911,117.6078737,91.19417579,113.7115794,74.92958964,34.29747947
01-10-1995,58.048366,100.0215491,111.2740483,110.7435423,116.1711111,88.65560797,111.3035678,72.29671951,33.4925978
01-11-1995,58.49711164,99.73019683,109.1477431,108.4140837,115.9201013,90.21770771,112.747299,73.94431829,34.37432637
01-12-1995,59.35729887,98.63921099,108.8833445,109.3936834,104.1724432,88.29180139,109.2223839,73.17339484,36.37601754
01-01-1996,59.11517266,98.16428599,110.0737661,110.782863,103.5281429,86.13474066,108.9030413,69.68892866,36.27008669
01-02-1996,59.78143451,99.65979161,112.73823,112.9661535,110.634284,86.4495032,108.6072697,70.44468721,36.45121217
01-03-1996,61.5941007,100.4180412,112.7839925,113.588757,105.3552681,87.92742275,111.242929,71.08635764,38.88074868
01-04-1996,64.21449591,104.2802457,119.729175,120.8834396,109.0742409,88.67556818,113.4418276,70.78660695,40.77464237
01-05-1996,63.36446475,106.5551231,122.5582296,123.6075972,112.8715921,90.39068162,116.5997264,71.4595795,38.09643127
01-06-1996,61.22999681,102.1271201,117.9557614,118.7285561,110.8221484,86.13890269,114.8118282,65.42811049,37.30376089
01-07-1996,61.84757505,101.0356193,116.3982692,117.7153932,104.2399909,85.5180912,116.5239334,63.12220581,38.92120966
01-08-1996,62.40554973,101.049118,114.6981708,115.6120711,106.262022,87.26246243,120.2301543,63.44950986,39.79772172
01-09-1996,62.93547611,97.35301792,107.2013464,107.6323329,103.2229406,87.40540366,122.9363283,61.7409978,42.80002016
01-10-1996,63.7580156,95.28206545,103.9910594,103.9905109,103.9961229,86.48527194,122.9054111,60.17857596,45.31535282
01-11-1996,62.91618628,95.67648269,104.4667454,104.6171994,103.0779156,86.79760109,118.0506389,64.22316336,43.75027638
01-12-1996,64.23683447,95.54559959,104.884966,105.3838152,100.2801245,86.1120785,115.2267775,65.08218814,45.92012073
01-01-1997,64.84978514,98.08241751,107.540252,107.877855,104.4238622,88.52923405,116.6183367,68.24014398,45.40754232
01-02-1997,62.13104077,98.96926101,108.003452,107.1925484,115.4888457,89.84399196,118.8512321,68.89172035,40.57940396
01-03-1997,61.54128582,100.9967765,110.3886514,108.3821168,128.9108301,91.51021756,120.7171477,70.41370755,38.45845501
01-04-1997,59.72930165,100.168073,111.2623258,108.8101818,133.8978931,88.96197375,117.8447619,68.09959529,36.07121751
01-05-1997,61.68346073,101.2196833,112.8118518,108.1399807,155.9375623,89.51064862,115.9324823,70.4258466,38.55339894
01-06-1997,58.61509974,97.036494,107.229318,103.4400766,142.2075366,86.74091121,110.2819058,69.7369732,36.13725121
01-07-1997,58.37919047,95.5657167,104.6299868,101.5056758,133.4702796,86.41006536,109.8261113,69.49637926,36.62378258
01-08-1997,58.68470433,95.1307291,103.6141081,100.5854595,131.5713489,86.56182504,108.428869,70.7670013,37.36251548
01-09-1997,58.14669074,93.56535294,102.6191881,99.26503759,133.5811132,84.4202417,107.6660374,67.62952934,37.42554463
01-10-1997,58.95362599,92.09577542,101.7469086,98.98473387,127.2443474,82.34734449,105.4671361,65.64764638,39.56431884
01-11-1997,57.89726244,92.23793637,102.1832961,99.64732157,125.5926972,82.19231263,107.2498512,64.09295706,37.80677687
01-12-1997,54.53048247,88.94946364,100.4739562,96.84769031,133.9477593,77.30878708,99.79001838,61.07032862,34.39418445
01-01-1998,51.13204141,85.97739852,99.35121699,95.29447484,136.7987155,72.46875215,90.60510301,59.36865206,30.74629866
01-02-1998,50.61593924,87.07693208,99.26159591,95.15811026,137.1405804,74.76942878,97.48309801,58.36307767,29.28499355
01-03-1998,49.46886083,86.82960889,97.98216872,94.70473287,128.2359462,75.56461473,99.17671517,58.50931615,27.61152712
01-04-1998,49.81688328,87.62357337,99.36891895,96.46973131,126.131114,75.75981729,99.24943962,58.7929861,27.69865802
01-05-1998,50.2580591,87.36875414,99.9095094,97.54195016,121.7642805,74.70156948,99.43616399,56.8354802,28.54701509
01-06-1998,48.07838006,85.54015984,98.32264901,96.35805637,116.4576641,72.62880424,97.67562579,54.53718969,26.16193928
01-07-1998,47.38683643,83.31272994,95.26609574,93.36815341,112.7858666,71.23885649,94.1619509,54.6812351,26.36894241
01-08-1998,46.05384941,80.90804158,90.69258526,88.0599678,114.9940899,71.02485521,94.46056207,54.0969678,25.66293786
01-09-1998,47.02971714,79.78651547,88.94239031,86.51076844,111.388519,70.53833584,92.49388722,54.67958218,27.86585375
01-10-1998,45.9437538,78.67851195,89.69975918,87.61925359,108.9047584,67.54615422,87.79105205,52.9230258,26.79278467
01-11-1998,44.54733423,78.69233619,89.89409088,87.75469016,109.6427469,67.37765121,87.50189929,52.84166953,24.57132355
01-12-1998,42.2901793,76.83704402,87.02732685,84.6665034,108.8199203,66.54402805,88.08936665,50.98157592,22.07906497
01-01-1999,43.37055034,77.43079576,88.23350056,86.20346074,106.9726538,66.5191837,89.94607538,49.5976636,23.44412516
01-02-1999,41.97159725,75.3093996,84.01180299,82.00799798,102.5087847,66.51926309,90.01026015,49.55143892,22.46782634
01-03-1999,43.89357865,74.7970941,82.01653631,80.17633094,99.00334139,67.50486921,92.17527555,49.6851438,25.81395003
01-04-1999,46.82926386,74.8378175,81.67561921,80.34664279,93.94330608,67.93108062,89.59478953,52.28312822,30.44328833
01-05-1999,47.59420489,75.52163846,81.61980364,80.47786758,92.16093424,69.36199473,90.76425553,53.90288939,31.25568742
01-06-1999,47.37018578,74.42722578,80.19635744,78.94884023,91.71210014,68.59993273,90.74706017,52.60280142,31.54087874
01-07-1999,49.74302386,73.94505168,76.98414742,76.04430188,85.65979473,70.87531736,90.84243404,56.45283353,35.58399798
01-08-1999,52.21285722,76.17365807,79.92112923,79.59589435,82.92334925,72.38840686,92.84836271,57.60993949,38.1949575
01-09-1999,55.07756276,77.94891232,80.0826425,79.69004356,83.70669546,75.79367097,97.12076853,60.38885691,41.69702983
01-10-1999,55.11837872,77.85980052,79.3251728,78.35593947,88.27209684,76.37965511,99.30843381,59.8179279,41.81385804
01-11-1999,57.0956709,77.85703063,79.50427553,78.03637292,93.05438023,76.19317906,98.20721866,60.29217868,44.94955522
01-12-1999,58.26395225,78.79882089,80.51104379,79.2129594,92.49356853,77.06933625,97.42660152,62.3650435,46.25034172
01-01-2000,59.46434685,79.98842936,81.63799036,81.32341687,84.54179588,78.32223834,95.76798575,65.72096927,47.45704658
01-02-2000,61.75714055,80.75562019,82.18529007,82.38305449,80.35974074,79.31153711,97.92853049,65.86426327,50.64237088
01-03-2000,62.20453524,80.68905386,82.25952536,82.33617472,81.55198055,79.10274967,100.1356906,63.91040843,51.3904506
01-04-2000,58.33930664,80.62117707,84.0911179,84.65151983,78.91808748,77.11625409,99.67621915,60.82092531,45.30363945
01-05-2000,62.48458627,81.49494207,84.56511338,85.18672729,78.82703952,78.39381889,101.1177537,61.98005282,51.36286863
01-06-2000,64.61293505,79.98799577,83.35764518,84.10423144,76.46596049,76.58437531,97.96516821,61.14077648,55.61799115
01-07-2000,63.04158435,79.16611826,81.0228275,81.46305313,76.95913596,77.29069065,97.73042845,62.52682702,53.60817264
01-08-2000,63.9493591,77.8862791,79.16533124,79.91423125,72.25228847,76.59433222,96.32617643,62.34178848,55.79577741
01-09-2000,67.21110807,78.86919268,77.96118595,78.55896676,72.44311385,79.78635347,100.1219317,65.09772552,60.39072413
01-10-2000,66.14640688,76.96986942,76.80419019,77.42450471,71.07811089,77.13721895,98.97274928,61.36515792,59.81430581
01-11-2000,66.94413942,76.52426402,76.38585984,77.23867661,68.51356881,76.66406353,100.1203755,59.72129282,61.33943417
01-12-2000,61.06192292,77.44731404,79.09536589,80.48314104,66.28491216,75.78264737,95.0087123,61.89543397,51.47590068
01-01-2001,61.87048989,78.21004995,78.62926508,79.76851427,68.11293669,77.78660852,99.23009785,62.29772332,52.31128041
01-02-2001,62.46401882,77.92876409,78.58683993,79.25251581,72.44203316,77.26405387,98.89127831,61.64245463,53.41660634
01-03-2001,60.32726745,78.08430622,79.845558,80.83883237,70.67671286,76.30529842,99.78140383,59.34823065,49.93878375
01-04-2001,61.148664,78.43760914,78.61644522,79.77617792,67.91103503,78.25697013,105.5242293,58.56150732,51.03403131
01-05-2001,63.33987094,79.67846467,80.55544482,81.93979345,67.77662099,78.79264327,104.8226388,59.99087054,53.7812268
01-06-2001,62.41232398,78.82490823,80.8003367,82.68043989,63.4452377,76.82956451,103.5748942,57.51109748,52.81039282
01-07-2001,59.57934038,78.17349457,83.65790198,86.03490284,61.71597594,72.63379621,96.83184454,55.15526057,48.70111511
01-08-2001,59.79038508,76.35588822,83.43115178,85.62266705,63.2014301,69.20929551,90.92085922,53.52677703,50.09899106
01-09-2001,57.73345118,73.48874436,79.88179401,81.88784633,61.36406757,67.0312433,87.66601903,52.12650146,48.5160581
01-10-2001,51.99694191,70.36758256,76.21234856,77.89871925,60.64558051,64.46389267,84.0486392,50.31759931,41.24947983
01-11-2001,49.95746409,71.35653811,76.34256158,77.68618621,63.93965811,66.32024814,86.05385067,52.06643433,37.43826342
01-12-2001,49.39313958,70.70957016,75.83106149,76.86506752,66.28622536,65.53644662,83.34411267,52.67375945,36.92228819
01-01-2002,50.06365301,71.40286108,76.56005927,77.45467791,68.30189816,66.19367069,83.15784309,53.94024893,37.579476
01-02-2002,51.24304813,72.2450556,76.37259689,76.85400951,71.92871118,68.07590258,87.36113575,54.14595126,38.95614517
01-03-2002,55.85924255,74.32604282,78.59122435,78.49526549,79.47701376,70.01786194,89.78355296,55.74087025,45.05552375
01-04-2002,57.54950837,73.99812491,77.28273178,77.17941004,78.23648739,70.68040434,92.16808804,55.15959703,47.92649707
01-05-2002,58.14364661,74.68782519,78.90573864,79.29277042,75.33307573,70.42738892,92.57088141,54.4328832,48.4647282
01-06-2002,57.64544811,76.90959251,81.31145201,81.88713429,75.99736986,72.46335574,96.17422813,55.33671303,46.37525533
01-07-2002,59.87677792,79.11710573,85.43052042,85.89270452,81.1641318,72.74004246,97.80633854,54.63436123,48.62051868
01-08-2002,60.53186652,79.12870501,86.21070626,86.52872257,83.27512035,71.97530669,99.09235351,52.38834401,49.65207086
01-09-2002,62.92855558,81.03559119,88.54767138,88.16791347,92.05318973,73.4477781,102.4338157,52.51082138,52.33531158
01-10-2002,62.71651679,81.38905476,89.04069265,88.50173305,94.0157904,73.66027703,102.3834246,52.91320885,51.7924343
01-11-2002,59.66089308,80.62062145,87.15261959,87.06489952,87.96235736,74.02277109,100.052075,55.22149795,47.39872486
01-12-2002,62.65693983,79.97331826,87.72074322,87.33730787,91.26020774,72.14778777,95.31912956,55.41085437,52.52625771
01-01-2003,66.46589696,81.33148421,89.26072758,88.43889638,96.84699303,73.32230231,95.8913297,57.02042771,57.76901271
01-02-2003,69.35261593,81.88724755,89.4298272,88.39063939,99.02249603,74.26862751,96.02380576,58.55460573,62.01942159
01-03-2003,65.72640875,80.04645415,87.14865997,86.79655776,90.39889046,72.87264757,94.17269062,57.48737531,57.3486854
01-04-2003,60.68916888,79.668209,86.90130493,86.58852982,89.78850977,72.36219274,95.67186753,55.52533978,49.58577201
01-05-2003,61.47085084,80.14239949,88.56099935,88.97822648,84.70960531,71.63892767,90.73756196,57.84375892,50.54734714
01-06-2003,62.98943402,79.19842839,85.98222977,86.65186961,79.80083198,72.34623624,91.25587533,58.68758095,53.50661
01-07-2003,63.29369612,78.42737022,83.10882975,83.39150845,80.49944281,73.69871463,93.01810699,59.74408973,54.43997176
01-08-2003,64.94796753,79.78215426,84.27238498,84.67717072,80.53583654,75.24665536,95.37719586,60.70612858,56.26945367
01-09-2003,63.03178404,81.94802382,87.8055841,88.32679656,82.99430886,76.03141066,97.19406144,60.74537845,51.96512753
01-10-2003,66.3894508,85.16813204,91.43198319,92.8126287,78.68734258,78.84113199,98.94614917,64.31904101,55.40327082
01-11-2003,67.3194551,86.94309583,93.38779701,94.9613274,78.86264978,80.43342251,99.16404658,66.90407189,55.83894451
01-12-2003,69.10168972,88.14170082,94.10935055,95.23840364,83.68714168,82.11388834,97.59635273,70.93072175,57.9626227
